"task_id","draft_id","material_id","knowledge_category","audience","candidate_question","source_path","conversion_path","rule_title","trigger_condition","eligibility","required_materials","process_steps","time_limits","exceptions","evidence_quote","status","reviewer","notes","review_result"
"P1-REX-0016","REX-20260324-0048","MAT-20260324-0047","就业与毕业","毕业生","关于开展校（院）2025届毕业生就业“百日冲刺”行动的通知 的办理条件、时间节点和执行流程是什么？","数据库部分材料/数据库部分材料/2025年工作/2025上-21级毕业工作/就业活动通知/关于开展校（院）2025届毕业生就业“百日冲刺”行动的通知.docx","knowledge-base\raw\first-batch-processing\converted\markdown\MAT-20260324-0047__关于开展校（院）2025届毕业生就业“百日冲刺”行动的通知.md","关于开展校（院）2025届毕业生就业“百日冲刺”行动的通知","相关工作通知发布并进入办理周期时执行","适用于毕业生及对应管理人员","按《关于开展校（院）2025届毕业生就业“百日冲刺”行动的通知》要求准备申请信息、证明材料与系统账号信息","阅读通知与实施细则准备并核验申报材料按线上或线下路径提交学院审核公示并完成归档","按当年通知或学院统一时间窗口执行","逾期提交、字段缺失或材料不一致可能导致退回重报；提交后修改以学院规则为准","依据材料《关于开展校（院）2025届毕业生就业“百日冲刺”行动的通知》中的流程条款、时间要求及提交规范提炼","extracted","","第二批扩量自动抽取","未复核"
"P1-REX-0017","REX-20260324-0049","MAT-20260324-0048","就业与毕业","毕业生","关于开展校（院）2025年毕业生就业政策宣传月活动的通知 的办理条件、时间节点和执行流程是什么？","数据库部分材料/数据库部分材料/2025年工作/2025上-21级毕业工作/就业活动通知/关于开展校（院）2025年毕业生就业政策宣传月活动的通知.docx","knowledge-base\raw\first-batch-processing\converted\markdown\MAT-20260324-0048__关于开展校（院）2025年毕业生就业政策宣传月活动的通知.md","关于开展校（院）2025年毕业生就业政策宣传月活动的通知","相关工作通知发布并进入办理周期时执行","适用于毕业生及对应管理人员","按《关于开展校（院）2025年毕业生就业政策宣传月活动的通知》要求准备申请信息、证明材料与系统账号信息","阅读通知与实施细则准备并核验申报材料按线上或线下路径提交学院审核公示并完成归档","按当年通知或学院统一时间窗口执行","逾期提交、字段缺失或材料不一致可能导致退回重报；提交后修改以学院规则为准","依据材料《关于开展校（院）2025年毕业生就业政策宣传月活动的通知》中的流程条款、时间要求及提交规范提炼","extracted","","第二批扩量自动抽取","未复核"
"P1-REX-0018","REX-20260324-0050","MAT-20260324-0049","就业与毕业","新生","智慧团建团支部转出步骤 的标准操作步骤和注意事项是什么？","数据库部分材料/数据库部分材料/2025年工作/2025下-25级新生工作/2025级毕业生团关系转出/智慧团建团支部转出步骤.docx","knowledge-base\raw\first-batch-processing\converted\markdown\MAT-20260324-0049__智慧团建团支部转出步骤.md","智慧团建团支部转出步骤","系统办理或流程执行环节启动时执行","适用于新生及对应管理人员","按《智慧团建团支部转出步骤》要求准备申请信息、证明材料与系统账号信息","登录系统并核验基础信息按页面指引逐步填报或审批提交后确认状态按要求留存截图或纸质材料","按当年通知或学院统一时间窗口执行","逾期提交、字段缺失或材料不一致可能导致退回重报；提交后修改以学院规则为准","依据材料《智慧团建团支部转出步骤》中的流程条款、时间要求及提交规范提炼","extracted","","第二批扩量自动抽取","未复核"
"P1-REX-0019","REX-20260324-0053","MAT-20260324-0052","事务申请与审批","新生","附件2：免予执行《国家学生体质健康标准》申请表 应如何填写、提交与归档？","数据库部分材料/数据库部分材料/2025年工作/2025下-25级新生工作/2025年秋季学期泰安校区2024级、2025级学生体质健康测试通知材料/附件2：免予执行《国家学生体质健康标准》申请表.docx","knowledge-base\raw\first-batch-processing\converted\markdown\MAT-20260324-0052__附件2：免予执行《国家学生体质健康标准》申请表.md","附件2：免予执行《国家学生体质健康标准》申请表","学生提交申请或学院收取材料时执行","适用于新生及对应管理人员","对应表单原件或电子版+身份证明信息+学院要求附件材料","下载或领取表单按字段规范填写并签字提交至学院审核完成归档备案","按当年通知或学院统一时间窗口执行","逾期提交、字段缺失或材料不一致可能导致退回重报；提交后修改以学院规则为准","依据材料《附件2：免予执行《国家学生体质健康标准》申请表》中的流程条款、时间要求及提交规范提炼","extracted","","第二批扩量自动抽取","未复核"
"P1-REX-0020","REX-20260324-0054","MAT-20260324-0053","事务申请与审批","新生","外媒采访报备 涉及的办理规则与执行要求是什么？","数据库部分材料/数据库部分材料/2025年工作/2025下-25级新生工作/HRU大赛2025/外媒采访报备.docx","knowledge-base\raw\first-batch-processing\converted\markdown\MAT-20260324-0053__外媒采访报备.md","外媒采访报备","相关工作通知发布并进入办理周期时执行","适用于新生及对应管理人员","按《外媒采访报备》要求准备申请信息、证明材料与系统账号信息","阅读通知与实施细则准备并核验申报材料按线上或线下路径提交学院审核公示并完成归档","按当年通知或学院统一时间窗口执行","逾期提交、字段缺失或材料不一致可能导致退回重报；提交后修改以学院规则为准","依据材料《外媒采访报备》中的流程条款、时间要求及提交规范提炼","extracted","","第二批扩量自动抽取","未复核"
"P1-REX-0021","REX-20260324-0056","MAT-20260324-0055","待定","新生","通知 的办理条件、时间节点和执行流程是什么？","数据库部分材料/数据库部分材料/2025年工作/2025下-25级新生工作/2025年 院级优秀评选/通知.docx","knowledge-base\raw\first-batch-processing\converted\markdown\MAT-20260324-0055__通知.md","通知","相关工作通知发布并进入办理周期时执行","适用于新生及对应管理人员","按《通知》要求准备申请信息、证明材料与系统账号信息","阅读通知与实施细则准备并核验申报材料按线上或线下路径提交学院审核公示并完成归档","按当年通知或学院统一时间窗口执行","逾期提交、字段缺失或材料不一致可能导致退回重报；提交后修改以学院规则为准","依据材料《通知》中的流程条款、时间要求及提交规范提炼","extracted","","第二批扩量自动抽取","未复核"
"P1-REX-0022","REX-20260324-0057","MAT-20260324-0056","待定","新生","附件5：体质健康测试承诺书 应如何填写、提交与归档？","数据库部分材料/数据库部分材料/2025年工作/2025下-25级新生工作/2025年秋季学期泰安校区2024级、2025级学生体质健康测试通知材料/附件5：体质健康测试承诺书.docx","knowledge-base\raw\first-batch-processing\converted\markdown\MAT-20260324-0056__附件5：体质健康测试承诺书.md","附件5：体质健康测试承诺书","学生提交申请或学院收取材料时执行","适用于新生及对应管理人员","对应表单原件或电子版+身份证明信息+学院要求附件材料","下载或领取表单按字段规范填写并签字提交至学院审核完成归档备案","按当年通知或学院统一时间窗口执行","逾期提交、字段缺失或材料不一致可能导致退回重报；提交后修改以学院规则为准","依据材料《附件5：体质健康测试承诺书》中的流程条款、时间要求及提交规范提炼","extracted","","第二批扩量自动抽取","未复核"
"P1-REX-0023","REX-20260324-0058","MAT-20260324-0057","待定","新生","2025 外研社校赛通知（总） 的办理条件、时间节点和执行流程是什么？","数据库部分材料/数据库部分材料/2025年工作/2025下-25级新生工作/2025外研社比赛/2025 外研社校赛通知（总）.docx","knowledge-base\raw\first-batch-processing\converted\markdown\MAT-20260324-0057__2025 外研社校赛通知（总）.md","2025 外研社校赛通知（总）","相关工作通知发布并进入办理周期时执行","适用于新生及对应管理人员","按《2025 外研社校赛通知（总）》要求准备申请信息、证明材料与系统账号信息","阅读通知与实施细则准备并核验申报材料按线上或线下路径提交学院审核公示并完成归档","按当年通知或学院统一时间窗口执行","逾期提交、字段缺失或材料不一致可能导致退回重报；提交后修改以学院规则为准","依据材料《2025 外研社校赛通知（总）》中的流程条款、时间要求及提交规范提炼","extracted","","第二批扩量自动抽取","未复核"
"P1-REX-0024","REX-20260324-0059","MAT-20260324-0058","待定","新生","校（院）关于组织参加第十届全省学生“学宪法讲宪法”活动省级比赛的通知 的办理条件、时间节点和执行流程是什么？","数据库部分材料/数据库部分材料/2025年工作/2025下-25级新生工作/2025学宪法讲宪法活动/比赛活动/校（院）关于组织参加第十届全省学生“学宪法讲宪法”活动省级比赛的通知.docx","knowledge-base\raw\first-batch-processing\converted\markdown\MAT-20260324-0058__校（院）关于组织参加第十届全省学生“学宪法讲宪法”活动省级比赛的通知.md","校（院）关于组织参加第十届全省学生“学宪法讲宪法”活动省级比赛的通知","相关工作通知发布并进入办理周期时执行","适用于新生及对应管理人员","按《校（院）关于组织参加第十届全省学生“学宪法讲宪法”活动省级比赛的通知》要求准备申请信息、证明材料与系统账号信息","阅读通知与实施细则准备并核验申报材料按线上或线下路径提交学院审核公示并完成归档","按当年通知或学院统一时间窗口执行","逾期提交、字段缺失或材料不一致可能导致退回重报；提交后修改以学院规则为准","依据材料《校（院）关于组织参加第十届全省学生“学宪法讲宪法”活动省级比赛的通知》中的流程条款、时间要求及提交规范提炼","extracted","","第二批扩量自动抽取","未复核"
"P1-REX-0025","REX-20260324-0060","MAT-20260324-0059","待定","新生","关于组织参加“宪法卫士”2025年行动计划的通知 的办理条件、时间节点和执行流程是什么？","数据库部分材料/数据库部分材料/2025年工作/2025下-25级新生工作/2025学宪法讲宪法活动/宪法卫士/关于组织参加“宪法卫士”2025年行动计划的通知.docx","knowledge-base\raw\first-batch-processing\converted\markdown\MAT-20260324-0059__关于组织参加“宪法卫士”2025年行动计划的通知.md","关于组织参加“宪法卫士”2025年行动计划的通知","相关工作通知发布并进入办理周期时执行","适用于新生及对应管理人员","按《关于组织参加“宪法卫士”2025年行动计划的通知》要求准备申请信息、证明材料与系统账号信息","阅读通知与实施细则准备并核验申报材料按线上或线下路径提交学院审核公示并完成归档","按当年通知或学院统一时间窗口执行","逾期提交、字段缺失或材料不一致可能导致退回重报；提交后修改以学院规则为准","依据材料《关于组织参加“宪法卫士”2025年行动计划的通知》中的流程条款、时间要求及提交规范提炼","extracted","","第二批扩量自动抽取","未复核"
"P1-REX-0026","REX-20260324-0061","MAT-20260324-0060","待定","新生","停保流程 涉及的办理规则与执行要求是什么？","数据库部分材料/数据库部分材料/2025年工作/2025下-25级新生工作/2026年大学生医保/停保流程.docx","knowledge-base\raw\first-batch-processing\converted\markdown\MAT-20260324-0060__停保流程.md","停保流程","相关工作通知发布并进入办理周期时执行","适用于新生及对应管理人员","按《停保流程》要求准备申请信息、证明材料与系统账号信息","阅读通知与实施细则准备并核验申报材料按线上或线下路径提交学院审核公示并完成归档","按当年通知或学院统一时间窗口执行","逾期提交、字段缺失或材料不一致可能导致退回重报；提交后修改以学院规则为准","依据材料《停保流程》中的流程条款、时间要求及提交规范提炼","extracted","","第二批扩量自动抽取","未复核"
"P1-REX-0027","REX-20260324-0062","MAT-20260324-0061","待定","新生","关于做好2026元旦假期学生安全教育管理工作的通知(1) 的办理条件、时间节点和执行流程是什么？","数据库部分材料/数据库部分材料/2025年工作/2025下-25级新生工作/2026元旦假期离返校统计/关于做好2026元旦假期学生安全教育管理工作的通知(1).docx","knowledge-base\raw\first-batch-processing\converted\markdown\MAT-20260324-0061__关于做好2026元旦假期学生安全教育管理工作的通知(1).md","关于做好2026元旦假期学生安全教育管理工作的通知(1)","相关工作通知发布并进入办理周期时执行","适用于新生及对应管理人员","按《关于做好2026元旦假期学生安全教育管理工作的通知(1)》要求准备申请信息、证明材料与系统账号信息","阅读通知与实施细则准备并核验申报材料按线上或线下路径提交学院审核公示并完成归档","按当年通知或学院统一时间窗口执行","逾期提交、字段缺失或材料不一致可能导致退回重报；提交后修改以学院规则为准","依据材料《关于做好2026元旦假期学生安全教育管理工作的通知(1)》中的流程条款、时间要求及提交规范提炼","extracted","","第二批扩量自动抽取","未复核"
"P1-REX-0028","REX-20260324-0063","MAT-20260324-0062","待定","新生","医药管理学院2023级新生家长见面会流程稿 涉及的办理规则与执行要求是什么？","数据库部分材料/数据库部分材料/2025年工作/2025下-25级新生工作/8.29 2025级家校交流会/医药管理学院2023级新生家长见面会流程稿.docx","knowledge-base\raw\first-batch-processing\converted\markdown\MAT-20260324-0062__医药管理学院2023级新生家长见面会流程稿.md","医药管理学院2023级新生家长见面会流程稿","相关工作通知发布并进入办理周期时执行","适用于新生及对应管理人员","按《医药管理学院2023级新生家长见面会流程稿》要求准备申请信息、证明材料与系统账号信息","阅读通知与实施细则准备并核验申报材料按线上或线下路径提交学院审核公示并完成归档","按当年通知或学院统一时间窗口执行","逾期提交、字段缺失或材料不一致可能导致退回重报；提交后修改以学院规则为准","依据材料《医药管理学院2023级新生家长见面会流程稿》中的流程条款、时间要求及提交规范提炼","extracted","","第二批扩量自动抽取","未复核"
"P2-REX-0003","REX-20260324-0031","MAT-20260324-0030","奖助贷补","全体学生","附件2：山东第一医科大学（山东省医学科学院）本专科生国家和省政府奖学金实施细则 的评审或执行规则有哪些？","数据库部分材料/数据库部分材料/模板/奖学金、助学金通知/2024-2025学年本科生省政府奖学金评选工作的通知/附件2：山东第一医科大学（山东省医学科学院）本专科生国家和省政府奖学金实施细则.docx","knowledge-base\raw\first-batch-processing\converted\markdown\MAT-20260324-0030__附件2：山东第一医科大学（山东省医学科学院）本专科生国家和省政府奖学金实施细则.md","附件2：山东第一医科大学（山东省医学科学院）本专科生国家和省政府奖学金实施细则","相关工作通知发布并进入办理周期时执行","适用于全体学生及对应管理人员","按《附件2：山东第一医科大学（山东省医学科学院）本专科生国家和省政府奖学金实施细则》要求准备申请信息、证明材料与系统账号信息","阅读通知与实施细则准备并核验申报材料按线上或线下路径提交学院审核公示并完成归档","模板类材料需按当年发布版本确认时间节点后执行","模板条款需结合当年正式通知复核后使用，不得直接照搬历史节点","依据材料《附件2：山东第一医科大学（山东省医学科学院）本专科生国家和省政府奖学金实施细则》中的流程条款、时间要求及提交规范提炼","extracted","","第二批扩量自动抽取","未复核"
"P2-REX-0004","REX-20260324-0032","MAT-20260324-0031","奖助贷补","全体学生","关于做好2024-2025学年本科生省政府奖学金评选工作的通知 的办理条件、时间节点和执行流程是什么？","数据库部分材料/数据库部分材料/模板/奖学金、助学金通知/2024-2025学年本科生省政府奖学金评选工作的通知/关于做好2024-2025学年本科生省政府奖学金评选工作的通知.docx","knowledge-base\raw\first-batch-processing\converted\markdown\MAT-20260324-0031__关于做好2024-2025学年本科生省政府奖学金评选工作的通知.md","关于做好2024-2025学年本科生省政府奖学金评选工作的通知","相关工作通知发布并进入办理周期时执行","适用于全体学生及对应管理人员","按《关于做好2024-2025学年本科生省政府奖学金评选工作的通知》要求准备申请信息、证明材料与系统账号信息","阅读通知与实施细则准备并核验申报材料按线上或线下路径提交学院审核公示并完成归档","模板类材料需按当年发布版本确认时间节点后执行","模板条款需结合当年正式通知复核后使用，不得直接照搬历史节点","依据材料《关于做好2024-2025学年本科生省政府奖学金评选工作的通知》中的流程条款、时间要求及提交规范提炼","extracted","","第二批扩量自动抽取","未复核"
"P2-REX-0005","REX-20260324-0033","MAT-20260324-0032","奖助贷补","全体学生","附件2：山东第一医科大学（山东省医学科学院）本专科生国家和省政府奖学金实施细则 的评审或执行规则有哪些？","数据库部分材料/数据库部分材料/模板/奖学金、助学金通知/2024-2025学年国家奖学金评选通知/附件2：山东第一医科大学（山东省医学科学院）本专科生国家和省政府奖学金实施细则.docx","knowledge-base\raw\first-batch-processing\converted\markdown\MAT-20260324-0032__附件2：山东第一医科大学（山东省医学科学院）本专科生国家和省政府奖学金实施细则.md","附件2：山东第一医科大学（山东省医学科学院）本专科生国家和省政府奖学金实施细则","相关工作通知发布并进入办理周期时执行","适用于全体学生及对应管理人员","按《附件2：山东第一医科大学（山东省医学科学院）本专科生国家和省政府奖学金实施细则》要求准备申请信息、证明材料与系统账号信息","阅读通知与实施细则准备并核验申报材料按线上或线下路径提交学院审核公示并完成归档","模板类材料需按当年发布版本确认时间节点后执行","模板条款需结合当年正式通知复核后使用，不得直接照搬历史节点","依据材料《附件2：山东第一医科大学（山东省医学科学院）本专科生国家和省政府奖学金实施细则》中的流程条款、时间要求及提交规范提炼","extracted","","第二批扩量自动抽取","未复核"
"P2-REX-0006","REX-20260324-0034","MAT-20260324-0033","奖助贷补","全体学生","关于做好2024-2025学年本科生国家奖学金评选工作的通知 的办理条件、时间节点和执行流程是什么？","数据库部分材料/数据库部分材料/模板/奖学金、助学金通知/2024-2025学年国家奖学金评选通知/关于做好2024-2025学年本科生国家奖学金评选工作的通知.docx","knowledge-base\raw\first-batch-processing\converted\markdown\MAT-20260324-0033__关于做好2024-2025学年本科生国家奖学金评选工作的通知.md","关于做好2024-2025学年本科生国家奖学金评选工作的通知","相关工作通知发布并进入办理周期时执行","适用于全体学生及对应管理人员","按《关于做好2024-2025学年本科生国家奖学金评选工作的通知》要求准备申请信息、证明材料与系统账号信息","阅读通知与实施细则准备并核验申报材料按线上或线下路径提交学院审核公示并完成归档","模板类材料需按当年发布版本确认时间节点后执行","模板条款需结合当年正式通知复核后使用，不得直接照搬历史节点","依据材料《关于做好2024-2025学年本科生国家奖学金评选工作的通知》中的流程条款、时间要求及提交规范提炼","extracted","","第二批扩量自动抽取","未复核"
"P2-REX-0007","REX-20260324-0035","MAT-20260324-0034","奖助贷补","全体学生","2024-2025学年本科生国家励志奖学金、省政府励志奖学金评审工作的通知 的办理条件、时间节点和执行流程是什么？","数据库部分材料/数据库部分材料/模板/奖学金、助学金通知/2024-2025学年励志奖学金评审通知/2024-2025学年本科生国家励志奖学金、省政府励志奖学金评审工作的通知.docx","knowledge-base\raw\first-batch-processing\converted\markdown\MAT-20260324-0034__2024-2025学年本科生国家励志奖学金、省政府励志奖学金评审工作的通知.md","2024-2025学年本科生国家励志奖学金、省政府励志奖学金评审工作的通知","相关工作通知发布并进入办理周期时执行","适用于全体学生及对应管理人员","按《2024-2025学年本科生国家励志奖学金、省政府励志奖学金评审工作的通知》要求准备申请信息、证明材料与系统账号信息","阅读通知与实施细则准备并核验申报材料按线上或线下路径提交学院审核公示并完成归档","模板类材料需按当年发布版本确认时间节点后执行","模板条款需结合当年正式通知复核后使用，不得直接照搬历史节点","依据材料《2024-2025学年本科生国家励志奖学金、省政府励志奖学金评审工作的通知》中的流程条款、时间要求及提交规范提炼","extracted","","第二批扩量自动抽取","未复核"
