"task_id","draft_id","material_id","knowledge_category","audience","candidate_question","source_path","conversion_path","rule_title","trigger_condition","eligibility","required_materials","process_steps","time_limits","exceptions","evidence_quote","status","reviewer","notes"
"P0-REX-0011","REX-20260323-0014","MAT-20260323-0011","心理与测评","学生","心理测评平台常见问题有哪些、分别如何解决？","数据库部分材料/数据库部分材料/2025年工作/2025下-25级新生工作/2025级心理测评/2025年新生心理测评材料/4.心理测评平台常见问题.pdf","knowledge-base\raw\first-batch-processing\converted\pdf\MAT-20260323-0011","心理测评平台高频问题处理规则","测评过程中出现登录导入参测上报异常时执行","校级管理员教师账号及参测学生均可按角色处理对应问题","账号绑定手机号+标准导入模板+信息报备记录","登录异常先重置密码或由管理员修正账号→导入失败按官方模板重新导入→无法参测检查是否已信息报备并添加测评学生→数据上报前先提交数据上报申请","测评后显示未完成建议等待24小时再核验或重新答题","手机号被其他学校占用或账号负责人更换需联系工作人员处理；加入测评学生不能删除可停用","测评管理提示请先完成信息报备才可以继续测评且学生登录手机号是唯一登录方式","extracted","",""
"P0-REX-0012","REX-20260323-0015","MAT-20260323-0012","证件与校园服务","全体学生","校园卡丢失后如何补卡、多久可以恢复使用？","数据库部分材料/数据库部分材料/模板/校园卡补卡指南.pdf","knowledge-base\raw\first-batch-processing\converted\pdf\MAT-20260323-0012","校园卡实体卡挂失与补卡流程","校园实体卡丢失后立即处理时执行","校园卡持卡人且卡内余额满足补卡条件可走自助补卡","校园卡号+消费密码+本人二代身份证+补卡费用余额","先挂失校园卡→选择自助补卡机或人工补卡→自助机输入卡号和密码并识别身份证→选择余额支付完成补卡并取卡","自助补卡机可即时出卡且补卡前需确认卡内余额至少10元","卡内余额不足无法选择余额支付需先充值；学生和教职工自助补卡机支持范围不同","补卡需支付补卡费且仅支持校园卡余额支付并要求补卡前余额≥10元","extracted","",""
"P0-REX-0013","REX-20260323-0016","MAT-20260323-0013","竞赛与第二课堂","全体学生","第二课堂成绩单实施办法中的学分与认定规则是什么？","数据库部分材料/数据库部分材料/模板/山东第一医科大学（山东省医学科学院）“第二课堂成绩单”实施办法.pdf","knowledge-base\raw\first-batch-processing\converted\pdf\MAT-20260323-0013","第二课堂积分认定与学分转换规则","学生参与第二课堂活动并进行学年认定时执行","适用于2022年及以后入学普通全日制本科生","齐鲁第二课堂系统活动记录+班级认定公示材料+学院审核备案材料","通过齐鲁第二课堂系统记录活动积分→学年开学两个月内完成班级认定公示3天和学院审核→毕业前一学期开展积分转学分并录入成绩","每学年开学两个月内完成认定审核公示备案；毕业学期开学后两个月内可再次开展补充转换","弄虚作假申请积分将取消该项目积分并按规定给予纪律处分","取得30个积分可获得8个拓展培养学分且30分中各模块有最低分要求并按30到39及40到49及50以上对应成绩","extracted","",""
"P0-REX-0014","REX-20260323-0017","MAT-20260323-0014","竞赛与第二课堂","学生","第二课堂录入流程中学生端和管理员端分别怎么操作？","数据库部分材料/数据库部分材料/模板/第二课堂激活/第二课堂录入操作流程.docx","knowledge-base\raw\first-batch-processing\converted\markdown\MAT-20260323-0014__第二课堂录入操作流程.md","第二课堂激活报名签到操作流程","学生首次使用第二课堂平台或参与活动时执行","姓名学号院校信息需与后台白名单一致的在校学生","招商银行APP登录信息+学校辅助激活二维码+学号姓名院校信息","下载并注册招商银行APP→搜索第二课堂并扫码激活→活动报名中点击立即报名或取消报名→活动开始后参与者出示签到码管理员在考勤管理扫码签到","激活成功后即可进入首页；报名仅在活动状态为未开启或报名中可操作","姓名学号院校不匹配会提示未查询到学生信息或已激活不可重复激活","若姓名院校学号均匹配则提示激活成功并跳转首页且活动状态为报名中时可立即报名","extracted","manual_review","时效待确认需复核"
"P0-REX-0015","REX-20260323-0018","MAT-20260323-0015","就业与毕业","毕业生","毕业离校手续有哪些环节，办理顺序是什么？","数据库部分材料/数据库部分材料/2025年工作/2025上-21级毕业工作/2025届毕业离校通知.docx","knowledge-base\raw\first-batch-processing\converted\markdown\MAT-20260323-0015__2025届毕业离校通知.md","毕业生离校退宿办理规则","毕业典礼后毕业生集中离校阶段执行","2025届毕业生及申请延期住宿或升学留校学生","宿舍钥匙+空调遥控器+延期住宿申请材料","毕业典礼后整理个人物品→到楼宇值班室办理退宿并归还钥匙和遥控器→按要求完成离校；延期住宿学生提前向辅导员申请调配宿舍","最晚离校时间为6月29日中午12点前且延期住宿申请需在6月26日前提出","未归还钥匙遥控器需照价赔偿；逾期未带走物品按废弃物处理","6月26日毕业典礼后最晚离校时间为6月29日中午12点前并需办理退宿交还钥匙和遥控器","extracted","",""
"P0-REX-0016","REX-20260323-0021","MAT-20260323-0020","就业与毕业","毕业生","毕业生档案去向核对应注意哪些信息和时间节点？","数据库部分材料/数据库部分材料/2025年工作/2025上-21级毕业工作/档案去向核对/档案信息核对确认 注意事项.docx","knowledge-base\raw\first-batch-processing\converted\markdown\MAT-20260323-0020__档案信息核对确认 注意事项.md","毕业生档案信息核对与更正规则","就业方案核对名单出现错误时执行","学院就业工作管理员可在省网国网中修改对应字段","省网导出错误名单+学生基础信息+必要时向人社厅报告材料","从省网导出核对有误名单→按错误类型在省网或国网修正基础信息→档案接收信息错误由学院直接在省网修改→生源地错误联系学校向人社厅报告后修改","发现错误后应在档案寄递前尽快完成修正避免影响派遣和寄递","政治面貌错误通常不影响毕业派遣；生源地错误不可由学院直接改需报人社厅","政治面貌错误可在省网学生信息修改或国网基本信息直接更改且生源地错误需联系我们给人社厅打报告修改","extracted","",""
"P1-REX-0001","REX-20260323-0003","MAT-20260323-0001","心理与测评","全体学生","心理测评的参与对象、时间节点和异常处理方式是什么？","数据库部分材料/数据库部分材料/学生手册.md","knowledge-base\raw\first-batch-processing\converted\markdown\MAT-20260323-0001__学生手册.md","学生心理测评参与与异常处理规则","每年心理测评工作开启时执行","学校组织范围内应参测学生","平台登录手机号与入学年份信息+知情同意确认+测评问卷","按学生手册提供入口登录心理测评系统→核对手机号一致→完成知情同意后作答并提交→遇登录或数据异常按常见问题指引处理","测评周期按学校当年通知执行且需在平台要求时间内完成作答","未完成信息报备或手机号不一致会影响参测；数据异常可通过测评记录和停用无效数据处理","学生登录需选择入学年份并使用与平台录入一致手机号；测评管理提示请先完成信息报备才可继续测评","extracted","","来自学生手册8.14与8.16章节"
"P1-REX-0002","REX-20260323-0004","MAT-20260323-0001","证件与校园服务","全体学生","校园卡或学生证补办的办理渠道、时限和注意事项是什么？","数据库部分材料/数据库部分材料/学生手册.md","knowledge-base\raw\first-batch-processing\converted\markdown\MAT-20260323-0001__学生手册.md","校园卡挂失与补卡办理规则","校园卡实体卡丢失或学生证需补办时执行","校园卡持有人及需补办证件的在校师生","校园卡号+消费密码+本人身份证+补卡费用余额","先挂失校园卡→按自助补卡或人工补卡办理→自助补卡需输入卡号密码并核验身份证后支付→完成后取卡；借阅证补办需到校园卡办公室补办并更新图书馆读者信息","补卡办理建议当天完成以避免财务损失且补卡前卡内余额需满足支付条件","校园卡余额不足无法完成自助补卡支付；借阅证转借或遗失未挂失由持证人承担风险","校园实体卡丢失请立即挂失且补卡仅支持校园卡余额支付并要求余额不少于10元","extracted","","来自学生手册8.13章节"
"P1-REX-0003","REX-20260323-0005","MAT-20260323-0001","竞赛与第二课堂","全体学生","第二课堂成绩单相关认定、录入与查询规则有哪些？","数据库部分材料/数据库部分材料/学生手册.md","knowledge-base\raw\first-batch-processing\converted\markdown\MAT-20260323-0001__学生手册.md","第二课堂成绩单认定与查询规则","学生参与第二课堂活动并需认定积分时执行","2022年及以后入学普通全日制本科生","齐鲁第二课堂系统活动记录+班级认定公示材料+学院审核备案材料","在齐鲁第二课堂系统参加并记录活动→班级小组完成积分认定公示3天→学院审核并报备→按规则转换拓展培养学分→在系统打印成绩单并加盖公章生效","每学年开学两个月内完成认定审核公示备案；毕业前完成积分转学分","积分造假将取消积分并按规定处分；未达最低模块积分要求无法完成8学分转换","取得30个积分可获8个拓展培养学分且需满足思想成长5分实践实习3分志愿公益3分创新创业5分文体活动3分","extracted","","来自学生手册10.6.11章节"
"P1-REX-0004","REX-20260323-0019","MAT-20260323-0018","就业与毕业","毕业生","毕业证和学位证代领需要满足哪些条件并提交哪些材料？","数据库部分材料/数据库部分材料/2025年工作/2025上-21级毕业工作/毕业证和学位证代领委托书.docx","knowledge-base\raw\first-batch-processing\converted\markdown\MAT-20260323-0018__毕业证和学位证代领委托书.md","毕业证学位证代领委托规则","毕业生本人无法到校领取证书时执行","2021级相关毕业生及其受委托代领人","毕业证学位证代领委托书+委托人与受托人签字信息","毕业生填写委托书说明无法到校原因→明确受托代领人身份→委托人与受托人签字确认→由受托人按学校流程代领证书","委托书日期应与代领办理周期一致并在领取前完成签署","代领完成后证书风险由委托人自行承担且与学校及代理人无关","委托书明确代领人领取物品视为本人亲领且代领后破损丢失等后果由委托人自行承担","extracted","","模板材料仅提炼稳定规则"
"P1-REX-0005","REX-20260323-0020","MAT-20260323-0019","就业与毕业","毕业生","毕业生应征入伍可享受哪些政策，办理路径是什么？","数据库部分材料/数据库部分材料/2025年工作/2025上-21级毕业工作/征兵政策/毕业生应征入伍政策解读.pdf","knowledge-base\raw\first-batch-processing\converted\pdf\MAT-20260323-0019","毕业生应征入伍政策与报名流程","毕业生准备应征入伍或咨询政策时执行","符合应征基本条件的大学毕业生","全国征兵网账号+个人身份信息+体检政考所需材料","登录全国征兵网进行兵役登记和应征报名→按应征地安排完成体格检查与政治考核→参加役前教育训练→择优批准入伍并起运","上半年报名一般1月1日至2月10日下半年7月1日至8月10日并按当年公告执行","体检或政考不合格不可进入后续环节；政策金额与带编岗位以年度公告为准","大学毕业生享受优先报名体检政考审批定兵和体检绿色通道且本专科每人每年学费补偿或代偿最高不超过20000元","extracted","manual_review","政策数值需按年度公告复核"
"P1-REX-0006","REX-20260324-0024","MAT-20260324-0023","入学与学籍","新生","附件4入学资格审查和录取资格复查登记表（纸质版已收齐 备案） 应如何填写、提交与归档？","数据库部分材料/数据库部分材料/2025年工作/2025下-25级新生工作/9.10 2025级新生入学资格复查/附件4入学资格审查和录取资格复查登记表（纸质版已收齐 备案）.docx","knowledge-base\raw\first-batch-processing\converted\markdown\MAT-20260324-0023__附件4入学资格审查和录取资格复查登记表（纸质版已收齐 备案）.md","附件4入学资格审查和录取资格复查登记表（纸质版已收齐 备案）","学生提交申请或学院收取材料时执行","适用于新生及对应管理人员","对应表单原件或电子版+身份证明信息+学院要求附件材料","下载或领取表单按字段规范填写并签字提交至学院审核完成归档备案","按当年通知或学院统一时间窗口执行","逾期提交、字段缺失或材料不一致可能导致退回重报；提交后修改以学院规则为准","依据材料《附件4入学资格审查和录取资格复查登记表（纸质版已收齐 备案）》中的流程条款、时间要求及提交规范提炼","extracted","","第二批扩量自动抽取"
"P1-REX-0007","REX-20260324-0025","MAT-20260324-0024","奖助贷补","新生","附件3：（     学院）国家助学金申请表 应如何填写、提交与归档？","数据库部分材料/数据库部分材料/2025年工作/2025下-25级新生工作/2025秋家庭经济困难认定+助学金评审/2025-2026学年国家助学金评审工作通知/附件3：（     学院）国家助学金申请表.docx","knowledge-base\raw\first-batch-processing\converted\markdown\MAT-20260324-0024__附件3：（     学院）国家助学金申请表.md","附件3：（     学院）国家助学金申请表","学生提交申请或学院收取材料时执行","适用于新生及对应管理人员","对应表单原件或电子版+身份证明信息+学院要求附件材料","下载或领取表单按字段规范填写并签字提交至学院审核完成归档备案","按当年通知或学院统一时间窗口执行","逾期提交、字段缺失或材料不一致可能导致退回重报；提交后修改以学院规则为准","依据材料《附件3：（     学院）国家助学金申请表》中的流程条款、时间要求及提交规范提炼","extracted","","第二批扩量自动抽取"
"P1-REX-0008","REX-20260324-0026","MAT-20260324-0025","奖助贷补","新生","附件4：本专科生国家助学金实施细则 的评审或执行规则有哪些？","数据库部分材料/数据库部分材料/2025年工作/2025下-25级新生工作/2025秋家庭经济困难认定+助学金评审/2025-2026学年国家助学金评审工作通知/附件4：本专科生国家助学金实施细则.docx","knowledge-base\raw\first-batch-processing\converted\markdown\MAT-20260324-0025__附件4：本专科生国家助学金实施细则.md","附件4：本专科生国家助学金实施细则","相关工作通知发布并进入办理周期时执行","适用于新生及对应管理人员","按《附件4：本专科生国家助学金实施细则》要求准备申请信息、证明材料与系统账号信息","阅读通知与实施细则准备并核验申报材料按线上或线下路径提交学院审核公示并完成归档","按当年通知或学院统一时间窗口执行","逾期提交、字段缺失或材料不一致可能导致退回重报；提交后修改以学院规则为准","依据材料《附件4：本专科生国家助学金实施细则》中的流程条款、时间要求及提交规范提炼","extracted","","第二批扩量自动抽取"
"P1-REX-0009","REX-20260324-0027","MAT-20260324-0026","奖助贷补","新生","关于做好2024-2025学年本科生国家助学金评选工作的通知 的办理条件、时间节点和执行流程是什么？","数据库部分材料/数据库部分材料/2025年工作/2025下-25级新生工作/2025秋家庭经济困难认定+助学金评审/2025-2026学年国家助学金评审工作通知/关于做好2024-2025学年本科生国家助学金评选工作的通知.docx","knowledge-base\raw\first-batch-processing\converted\markdown\MAT-20260324-0026__关于做好2024-2025学年本科生国家助学金评选工作的通知.md","关于做好2024-2025学年本科生国家助学金评选工作的通知","相关工作通知发布并进入办理周期时执行","适用于新生及对应管理人员","按《关于做好2024-2025学年本科生国家助学金评选工作的通知》要求准备申请信息、证明材料与系统账号信息","阅读通知与实施细则准备并核验申报材料按线上或线下路径提交学院审核公示并完成归档","按当年通知或学院统一时间窗口执行","逾期提交、字段缺失或材料不一致可能导致退回重报；提交后修改以学院规则为准","依据材料《关于做好2024-2025学年本科生国家助学金评选工作的通知》中的流程条款、时间要求及提交规范提炼","extracted","","第二批扩量自动抽取"
"P1-REX-0010","REX-20260324-0028","MAT-20260324-0027","奖助贷补","新生","附件2：一网通办系统学生申请操作说明 的标准操作步骤和注意事项是什么？","数据库部分材料/数据库部分材料/2025年工作/2025下-25级新生工作/2025秋家庭经济困难认定+助学金评审/家庭经济困难认定工作通知/附件/附件2：一网通办系统学生申请操作说明.docx","knowledge-base\raw\first-batch-processing\converted\markdown\MAT-20260324-0027__附件2：一网通办系统学生申请操作说明.md","附件2：一网通办系统学生申请操作说明","系统办理或流程执行环节启动时执行","适用于新生及对应管理人员","按《附件2：一网通办系统学生申请操作说明》要求准备申请信息、证明材料与系统账号信息","登录系统并核验基础信息按页面指引逐步填报或审批提交后确认状态按要求留存截图或纸质材料","按当年通知或学院统一时间窗口执行","逾期提交、字段缺失或材料不一致可能导致退回重报；提交后修改以学院规则为准","依据材料《附件2：一网通办系统学生申请操作说明》中的流程条款、时间要求及提交规范提炼","extracted","","第二批扩量自动抽取"
"P1-REX-0011","REX-20260324-0029","MAT-20260324-0028","奖助贷补","新生","关于开展2025-2026学年家庭经济困难认定的通知 的办理条件、时间节点和执行流程是什么？","数据库部分材料/数据库部分材料/2025年工作/2025下-25级新生工作/2025秋家庭经济困难认定+助学金评审/家庭经济困难认定工作通知/关于开展2025-2026学年家庭经济困难认定的通知.docx","knowledge-base\raw\first-batch-processing\converted\markdown\MAT-20260324-0028__关于开展2025-2026学年家庭经济困难认定的通知.md","关于开展2025-2026学年家庭经济困难认定的通知","相关工作通知发布并进入办理周期时执行","适用于新生及对应管理人员","按《关于开展2025-2026学年家庭经济困难认定的通知》要求准备申请信息、证明材料与系统账号信息","阅读通知与实施细则准备并核验申报材料按线上或线下路径提交学院审核公示并完成归档","按当年通知或学院统一时间窗口执行","逾期提交、字段缺失或材料不一致可能导致退回重报；提交后修改以学院规则为准","依据材料《关于开展2025-2026学年家庭经济困难认定的通知》中的流程条款、时间要求及提交规范提炼","extracted","","第二批扩量自动抽取"
"P1-REX-0012","REX-20260324-0030","MAT-20260324-0029","奖助贷补","新生","学院、班级一网通办操作说明 的标准操作步骤和注意事项是什么？","数据库部分材料/数据库部分材料/2025年工作/2025下-25级新生工作/2025秋家庭经济困难认定+助学金评审/学院、班级一网通办操作说明.docx","knowledge-base\raw\first-batch-processing\converted\markdown\MAT-20260324-0029__学院、班级一网通办操作说明.md","学院、班级一网通办操作说明","系统办理或流程执行环节启动时执行","适用于新生及对应管理人员","按《学院、班级一网通办操作说明》要求准备申请信息、证明材料与系统账号信息","登录系统并核验基础信息按页面指引逐步填报或审批提交后确认状态按要求留存截图或纸质材料","按当年通知或学院统一时间窗口执行","逾期提交、字段缺失或材料不一致可能导致退回重报；提交后修改以学院规则为准","依据材料《学院、班级一网通办操作说明》中的流程条款、时间要求及提交规范提炼","extracted","","第二批扩量自动抽取"
"P1-REX-0013","REX-20260324-0045","MAT-20260324-0044","就业与毕业","毕业生","毕业生登记表 应如何填写、提交与归档？","数据库部分材料/数据库部分材料/2025年工作/2025上-21级毕业工作/毕业生登记表.docx","knowledge-base\raw\first-batch-processing\converted\markdown\MAT-20260324-0044__毕业生登记表.md","毕业生登记表","学生提交申请或学院收取材料时执行","适用于毕业生及对应管理人员","对应表单原件或电子版+身份证明信息+学院要求附件材料","下载或领取表单按字段规范填写并签字提交至学院审核完成归档备案","按当年通知或学院统一时间窗口执行","逾期提交、字段缺失或材料不一致可能导致退回重报；提交后修改以学院规则为准","依据材料《毕业生登记表》中的流程条款、时间要求及提交规范提炼","extracted","","第二批扩量自动抽取"
"P1-REX-0014","REX-20260324-0046","MAT-20260324-0045","就业与毕业","毕业生","高校毕业生档案转递单功能操作手册 的标准操作步骤和注意事项是什么？","数据库部分材料/数据库部分材料/2025年工作/2025上-21级毕业工作/档案去向核对/档案转递/高校毕业生档案转递单功能操作手册.docx","knowledge-base\raw\first-batch-processing\converted\markdown\MAT-20260324-0045__高校毕业生档案转递单功能操作手册.md","高校毕业生档案转递单功能操作手册","系统办理或流程执行环节启动时执行","适用于毕业生及对应管理人员","按《高校毕业生档案转递单功能操作手册》要求准备申请信息、证明材料与系统账号信息","登录系统并核验基础信息按页面指引逐步填报或审批提交后确认状态按要求留存截图或纸质材料","按当年通知或学院统一时间窗口执行","逾期提交、字段缺失或材料不一致可能导致退回重报；提交后修改以学院规则为准","依据材料《高校毕业生档案转递单功能操作手册》中的流程条款、时间要求及提交规范提炼","extracted","","第二批扩量自动抽取"
