entry_id,material_id,title,knowledge_category,rule_type,rule_summary,rule_detail,confidence_level,verification_status,notes
KB-20260324-0061,MAT-20260324-0050,医药管理学院学生综合素质测评办法,心理与测评,评分标准,班级集体活动扣分,参加班级集体活动低于班级平均数少1次扣2分少3次以上记0分,已核实,已验证,来源于德育测评标准
KB-20260324-0061,MAT-20260324-0050,医药管理学院学生综合素质测评办法,心理与测评,流程规则,测评程序,班级测评→年级排名→学院审核公示3个工作日→报学生工作部备案,已核实,已验证,来源于制度原文
KB-20260324-0062,MAT-20260324-0051,学生考试结束申请留校住宿家长知情同意书,证件与校园服务,责任声明,安全责任声明,学生留校期间（包括在校内活动、往返学校与校外场所的路程中）一切安全事故由学生本人及家长负责学校和学院不承担任何责任,已核实,已验证,来源于模板原文
KB-20260324-0062,MAT-20260324-0051,学生考试结束申请留校住宿家长知情同意书,证件与校园服务,材料要求,家长签字要求,家长签字并按手印填写联系电话和日期,已核实,已验证,来源于模板原文
KB-20260324-0063,MAT-20260324-0052,免予执行《国家学生体质健康标准》申请流程,事务申请与审批,申请条件,免测申请条件,因身体等特殊原因不能参加体育锻炼的学生可申请免测,已核实,已验证,来源于申请表
KB-20260324-0063,MAT-20260324-0052,免予执行《国家学生体质健康标准》申请流程,事务申请与审批,审批流程,免测审批流程,体育教师签字（无体育课可由辅导员签字）→家长签字（可由学生代签）→学校体育部门意见签章,已核实,已验证,来源于申请表备注
KB-20260324-0064,MAT-20260324-0053,HRU大赛媒体采访报备流程,事务申请与审批,报备要求,大型活动媒体报备要求,有媒体参与的大型活动需提前报备媒体采访名单含媒体记者信息和车辆信息,已核实,已验证,来源于报备表示例
KB-20260324-0065,MAT-20260324-0054,入团申请书撰写规范,事务申请与审批,写作规范,入团申请书基本要求,必须手写不得抄袭字体端正不少于3页纸使用信纸无涂改错字,已核实,已验证,来源于写作指南
KB-20260324-0065,MAT-20260324-0054,入团申请书撰写规范,事务申请与审批,格式规范,入团申请书结构,标题称呼正文结尾落款五部分最后四行不得另起一页,已核实,已验证,来源于写作指南
KB-20260324-0066,MAT-20260324-0056,体质健康测试承诺书及注意事项,事务申请与审批,测试准备,测试前准备要求,在AI体育云微信小程序采集信息学习体测须知合理饮食充足睡眠准备合适衣物做热身,已核实,已验证,来源于承诺书
KB-20260324-0066,MAT-20260324-0056,体质健康测试承诺书及注意事项,事务申请与审批,禁止行为,测试禁止行为,替考违规操作人证不符一经发现按考试作弊处理成绩清零,已核实,已验证,来源于承诺书警示条款
KB-20260324-0066,MAT-20260324-0056,体质健康测试承诺书及注意事项,事务申请与审批,测试注意,测试中注意事项,合理分配体力身体不适立即停止运动后慢跑或步行恢复,已核实,已验证,来源于承诺书
KB-20260324-0066,MAT-20260324-0056,体质健康测试承诺书及注意事项,事务申请与审批,测试注意,测试后注意事项,注意保暖预防感冒不要立即大量喝水,已核实,已验证,来源于承诺书
KB-20260324-0067,MAT-20260324-0057,2025外研社·国才杯英语能力大赛校赛通知,竞赛与第二课堂,赛事信息,大赛主题,理解中国沟通世界,已核实,已验证,来源于通知原文
KB-20260324-0067,MAT-20260324-0057,2025外研社·国才杯英语能力大赛校赛通知,竞赛与第二课堂,赛事信息,校赛分赛项,综合能力演讲笔译口译四个分赛项,已核实,已验证,来源于通知原文
KB-20260324-0067,MAT-20260324-0057,2025外研社·国才杯英语能力大赛校赛通知,竞赛与第二课堂,赛事规则,比赛形式,综合能力口译笔译为线下比赛设泰安济南校区考场；演讲分英语专业组和大学英语组分别组织初赛复赛决赛,已核实,已验证,来源于通知原文
KB-20260324-0068,MAT-20260324-0058,第十届全省学生学宪法讲宪法活动省级比赛通知,竞赛与第二课堂,赛事信息,比赛赛项,演讲比赛法治素养竞赛微课比赛情景剧比赛四个赛项,已核实,已验证,来源于通知原文
KB-20260324-0068,MAT-20260324-0058,第十届全省学生学宪法讲宪法活动省级比赛通知,竞赛与第二课堂,赛事规则,线下比赛时间,演讲比赛2025年10月14-15日；法治素养竞赛2025年10月16-17日,已核实,已验证,来源于通知原文
KB-20260324-0068,MAT-20260324-0058,第十届全省学生学宪法讲宪法活动省级比赛通知,竞赛与第二课堂,赛事规则,比赛地点,山东教育电视台负二层演播大厅（济南市市中区千佛山西路38号）,已核实,已验证,来源于通知原文
KB-20260324-0068,MAT-20260324-0058,第十届全省学生学宪法讲宪法活动省级比赛通知,竞赛与第二课堂,参赛资格,参赛限制,参加过往届全国总决赛获冠亚季军的学生不再参加本届省级比赛,已核实,已验证,来源于通知原文
KB-20260324-0068,MAT-20260324-0058,第十届全省学生学宪法讲宪法活动省级比赛通知,竞赛与第二课堂,材料报送,报送截止时间,2025年9月18日17:00前,已核实,已验证,来源于通知原文
KB-20260324-0068,MAT-20260324-0058,第十届全省学生学宪法讲宪法活动省级比赛通知,竞赛与第二课堂,联系信息,联系人及电话,王琳华0531-59556713,已核实,已验证,来源于通知原文
KB-20260324-0069,MAT-20260324-0059,2025年宪法卫士行动计划参与指南,竞赛与第二课堂,操作流程,学生参与流程,班级管理员添加学生进入班级→学生根据普法网指南完成在线学习,已核实,已验证,来源于通知原文
KB-20260324-0069,MAT-20260324-0059,2025年宪法卫士行动计划参与指南,竞赛与第二课堂,平台信息,活动平台,教育部青少年普法网https://qspfw.moe.gov.cn,已核实,已验证,来源于通知原文
KB-20260324-0069,MAT-20260324-0059,2025年宪法卫士行动计划参与指南,竞赛与第二课堂,账号管理,账号使用说明,去年注册账号可继续使用忘记密码可找回新增班级管理员初次登录使用附件密码,已核实,已验证,来源于通知原文
KB-20260324-0070,MAT-20260324-0060,居民医保停保办理流程,证件与校园服务,操作流程,医保停保三步流程,选择参保城市→完成注册认证→办理城乡居民医疗保险中断登记,已核实,已验证,来源于流程文档
KB-20260324-0070,MAT-20260324-0060,居民医保停保办理流程,证件与校园服务,平台信息,办理平台,鲁医保微信小程序,已核实,已验证,来源于流程文档
